tool_id,tool_name,machine_id,installed_at,status,wear_level,cycles_since_install
TL-01,Assembly Fixture,M01,2026-08-13 00:00:00,REMOVED,WORN,886
TL-02,Stamping Die,M05,2026-07-20 00:00:00,REMOVED,GOOD,32496
TL-05,CNC Cutting Head,M05,2026-07-26 00:00:00,REMOVED,NEW,25984
TL-07,Stamping Die,M07,2026-06-22 00:00:00,REMOVED,GOOD,41280
TL-09,Assembly Fixture,M01,2026-07-21 00:00:00,IN_USE,NEW,42623
TL-11,Extrusion Nozzle,M03,2026-07-30 00:00:00,IN_USE,NEW,17549
TL-13,Extrusion Nozzle,M06,2026-06-28 00:00:00,REMOVED,WORN,22618
TL-14,Injection Mold Insert - Rev B,M07,2026-07-30 09:00:00,REMOVED,WORN,48210
TL-15,Extrusion Nozzle,M05,2026-07-24 00:00:00,IDLE,NEW,31322
TL-16,Injection Mold Insert - Rev A,M09,2026-06-07 00:00:00,IDLE,GOOD,43107
TL-17,Injection Mold Insert - Rev C,M07,2026-08-26 14:14:00,IN_USE,NEW,0
TL-18,Injection Mold Insert - Rev A,M01,2026-06-04 00:00:00,IN_USE,GOOD,55499
TL-20,Injection Mold Insert - Rev A,M10,2026-06-20 00:00:00,IN_USE,GOOD,31535
TL-24,Injection Mold Insert - Rev A,M10,2026-06-28 00:00:00,REMOVED,WORN,50759
TL-25,Stamping Die,M03,2026-08-17 00:00:00,IN_USE,GOOD,20884
